username,timestamp,attempt_count,time_since_first,success,label
user_1514,44:34.9,3,24,1,normal
user_1390,44:11.7,4,0.786933,0,brute_force
user_2658,44:11.2,4,0.341945,0,brute_force
user_3656,44:53.9,2,43,1,normal
user_5868,44:41.9,2,31,0,normal
user_2952,44:38.9,2,28,1,normal
user_5354,44:12.6,4,1.720272,0,brute_force
user_3587,44:10.9,2,0.029051,0,brute_force
user_8672,44:11.2,9,0.311732,0,brute_force
user_1083,45:05.9,2,55,1,normal
user_6281,44:12.3,5,1.410745,0,brute_force
user_4894,48:37.9,2,267,0,normal
user_9387,44:11.0,1,0.143073,0,brute_force
user_2336,48:21.9,1,251,0,normal
user_4907,49:05.9,3,295,1,normal
user_8930,48:22.9,1,252,0,normal
user_2079,47:54.9,1,224,0,normal
user_6634,47:38.9,1,208,1,normal
user_9357,45:55.9,1,105,1,normal
user_5186,44:12.0,2,1.120213,0,brute_force
user_7765,48:26.9,1,256,1,normal
user_4224,44:42.9,3,32,1,normal
user_6077,45:16.9,1,66,1,normal
user_8652,44:11.0,10,0.095716,0,brute_force
user_9104,44:52.9,2,42,0,normal
user_1152,44:12.8,13,1.890436,0,brute_force
user_3908,44:11.3,13,0.418707,0,brute_force
user_6803,46:47.9,3,157,1,normal
user_9839,44:44.9,1,34,1,normal
user_1333,44:49.9,3,39,1,normal
user_4223,48:52.9,1,282,0,normal
user_7565,46:17.9,1,127,1,normal
user_1336,44:11.6,3,0.73205,0,brute_force
user_7115,45:53.9,3,103,1,normal
user_7230,44:39.9,3,29,1,normal
user_2658,44:11.4,10,0.482285,0,brute_force
user_3533,47:57.9,1,227,0,normal
user_6417,49:10.9,1,300,1,normal
user_7747,44:35.9,1,25,1,normal
user_2026,44:12.1,2,1.161436,0,brute_force
user_5516,44:51.9,2,41,1,normal
user_4324,44:12.5,6,1.606968,0,brute_force
user_3047,48:19.9,2,249,0,normal
user_7764,44:11.1,13,0.167897,0,brute_force
user_1356,44:34.9,1,24,0,normal
user_3812,46:05.9,1,115,0,normal
user_1132,44:11.4,5,0.450755,0,brute_force
user_2403,44:12.1,10,1.234754,0,brute_force
user_9569,47:08.9,1,178,0,normal
user_2230,44:11.2,12,0.308193,0,brute_force
user_1574,44:10.9,10,0.02824,0,brute_force
user_3047,44:31.9,3,21,1,normal
user_5488,47:35.9,2,205,1,normal
user_6006,48:00.9,2,230,1,normal
user_9778,47:42.9,1,212,1,normal
user_7131,46:16.9,1,126,0,normal
user_9936,48:02.9,3,232,1,normal
user_7919,44:35.9,1,25,0,normal
user_7315,45:51.9,1,101,1,normal
user_9433,46:27.9,1,137,1,normal
user_7114,44:11.8,3,0.86498,0,brute_force
user_9912,47:01.9,1,171,1,normal
user_7114,44:12.8,9,1.878386,0,brute_force
user_1937,45:54.9,1,104,1,normal
user_3823,44:53.9,1,43,0,normal
user_7322,46:47.9,2,157,1,normal
user_4959,45:06.9,3,56,1,normal
user_7254,47:36.9,1,206,0,normal
user_4085,44:12.6,13,1.678334,0,brute_force
user_2330,45:10.9,1,60,0,normal
user_3748,45:25.9,2,75,1,normal
user_1937,45:12.9,1,62,0,normal
user_3553,44:34.9,1,24,0,normal
user_9852,44:44.9,3,34,1,normal
user_1356,46:28.9,2,138,0,normal
user_9631,46:03.9,1,113,0,normal
user_2427,45:04.9,3,54,1,normal
user_2234,44:27.9,2,17,1,normal
user_5938,44:11.4,1,0.477075,0,brute_force
user_4548,46:50.9,1,160,0,normal
user_8514,44:12.0,4,1.07844,0,brute_force
user_7414,44:11.3,5,0.388483,0,brute_force
user_8672,44:12.8,8,1.893716,0,brute_force
user_3823,46:06.9,3,116,1,normal
user_6159,44:12.5,14,1.616204,0,brute_force
user_5973,47:35.9,2,205,1,normal
user_4578,44:11.6,3,0.669649,0,brute_force
user_5328,46:08.9,1,118,0,normal
user_3597,46:12.9,1,122,0,normal
user_8591,44:58.9,3,48,1,normal
user_9179,44:11.4,3,0.459651,0,brute_force
user_3125,44:12.2,1,1.27031,0,brute_force
user_3489,48:22.9,1,252,0,normal
user_6421,46:37.9,1,147,0,normal
user_8641,45:23.9,1,73,0,normal
user_8468,44:12.0,5,1.148656,0,brute_force
user_4376,45:40.9,2,90,0,normal
user_6168,44:11.7,1,0.800555,0,brute_force
user_2608,44:12.2,6,1.314988,0,brute_force
user_1947,47:41.9,1,211,1,normal
user_1172,44:30.9,1,20,0,normal
user_7401,44:12.6,1,1.677877,0,brute_force
user_1866,49:05.9,3,295,1,normal
user_8705,48:54.9,3,284,1,normal
user_2248,44:11.8,8,0.942887,0,brute_force
user_6308,47:29.9,1,199,0,normal
user_5367,46:19.9,3,129,1,normal
user_5421,45:21.9,1,71,1,normal
user_2865,44:21.9,1,11,0,normal
user_5186,44:12.9,7,1.971346,0,brute_force
user_1747,46:06.9,3,116,1,normal
user_7401,44:12.6,3,1.683487,0,brute_force
user_7556,44:12.7,12,1.795779,0,brute_force
user_3334,44:12.8,7,1.873137,0,brute_force
user_6029,44:12.6,8,1.731017,0,brute_force
user_5481,46:23.9,1,133,0,normal
user_7158,46:31.9,3,141,1,normal
user_3992,46:49.9,2,159,1,normal
user_4317,46:43.9,2,153,0,normal
user_3621,44:24.9,1,14,1,normal
user_2802,48:44.9,1,274,0,normal
user_4576,47:58.9,1,228,1,normal
user_3992,48:49.9,1,279,0,normal
user_1948,48:57.9,2,287,0,normal
user_5107,45:35.9,2,85,1,normal
user_4707,47:04.9,3,174,1,normal
user_5938,44:11.6,8,0.695463,0,brute_force
user_4578,44:11.5,14,0.615758,0,brute_force
user_3192,47:13.9,1,183,0,normal
user_9784,46:57.9,1,167,1,normal
user_5442,44:11.5,10,0.645159,0,brute_force
user_7803,44:11.6,2,0.70589,0,brute_force
user_1879,48:44.9,1,274,0,normal
user_9198,45:16.9,1,66,0,normal
user_1722,46:01.9,2,111,0,normal
user_6890,44:44.9,1,34,0,normal
user_3397,44:12.9,1,1.981223,0,brute_force
user_6905,47:33.9,1,203,0,normal
user_4426,44:55.9,2,45,1,normal
user_5879,49:07.9,2,297,1,normal
user_6115,44:11.9,1,1.031724,0,brute_force
user_5118,48:24.9,2,254,0,normal
user_8486,46:59.9,2,169,0,normal
user_5492,48:56.9,2,286,1,normal
user_1496,45:53.9,2,103,0,normal
user_4217,45:51.9,2,101,1,normal
user_3635,44:23.9,1,13,0,normal
user_6115,44:12.4,5,1.498282,0,brute_force
user_3334,44:11.1,13,0.203109,0,brute_force
user_1390,44:12.3,8,1.414775,0,brute_force
user_7731,47:15.9,3,185,1,normal
user_5881,46:31.9,2,141,1,normal
user_1884,44:21.9,2,11,0,normal
user_9332,45:28.9,3,78,1,normal
user_5481,46:35.9,2,145,1,normal
user_6964,48:20.9,2,250,1,normal
user_1864,46:15.9,1,125,1,normal
user_2155,47:45.9,1,215,0,normal
user_1221,47:15.9,1,185,0,normal
user_9445,44:11.4,1,0.510128,0,brute_force
user_7166,45:55.9,3,105,1,normal
user_1372,47:51.9,2,221,0,normal
user_8382,47:32.9,3,202,1,normal
user_3718,45:51.9,2,101,0,normal
user_3591,44:12.1,2,1.176448,0,brute_force
user_8468,44:11.1,3,0.242431,0,brute_force
user_4498,44:20.9,1,10,1,normal
user_4099,47:17.9,2,187,0,normal
user_4589,44:58.9,1,48,0,normal
user_8233,48:06.9,1,236,0,normal
user_6351,47:16.9,2,186,0,normal
user_3419,45:49.9,1,99,0,normal
user_2427,47:42.9,2,212,0,normal
user_3481,47:09.9,1,179,0,normal
user_5539,47:33.9,2,203,0,normal
user_6499,46:43.9,1,153,0,normal
user_1390,44:11.8,11,0.915286,0,brute_force
user_4354,48:58.9,3,288,1,normal
user_4085,44:11.3,2,0.445312,0,brute_force
user_3397,44:12.6,8,1.685327,0,brute_force
user_6716,45:36.9,1,86,1,normal
user_4746,46:55.9,1,165,0,normal
user_1574,44:11.6,7,0.666439,0,brute_force
user_1180,46:48.9,2,158,1,normal
user_2532,44:12.7,3,1.820944,0,brute_force
user_7401,44:12.0,7,1.148523,0,brute_force
user_5242,45:14.9,2,64,1,normal
user_2513,44:21.9,1,11,1,normal
user_1574,44:11.3,11,0.389919,0,brute_force
user_5219,46:30.9,2,140,1,normal
user_2908,44:11.7,7,0.81417,0,brute_force
user_2827,45:14.9,3,64,1,normal
user_3533,47:52.9,2,222,1,normal
user_1437,46:38.9,2,148,1,normal
user_1336,44:11.0,4,0.144214,0,brute_force
user_2230,44:12.5,5,1.635883,0,brute_force
